epoch,train_loss,train_dice,val_loss,val_dice,lr
1,0.6311318674395161,0.5241935487246759,0.7142704310042135,0.47191011306165187,0.0001
2,0.6708850491431452,0.5064516132142834,0.6934389264396067,0.4943820231991708,0.0001
3,0.6641105405745967,0.5112903229123651,0.7287378204002809,0.46629213563747984,0.0001
4,0.6446296938004032,0.5080645165369823,0.6883531206109551,0.4943820232624838,0.0001
5,0.6807010773689516,0.5032258067622325,0.7766936227176966,0.4494382030240367,0.0001
6,0.6702361076108871,0.5161290325904448,0.7465381408005618,0.48876404561776093,0.0001
7,0.6542015812089367,0.5177419359960764,0.7578289589185393,0.4719101131352116,0.0001
8,0.6738808908770161,0.5177419357489075,0.717748749122191,0.4831460682116721,0.0001
9,0.6560767389112904,0.5274193550975945,0.7002968091643258,0.5056179782567884,0.0001
10,0.6718159337197581,0.512903226083469,0.6885149666432584,0.4831460683146711,0.0001
11,0.6570540889616936,0.5241935486753984,0.7293001661139927,0.4887640463669132,0.0001
12,0.6524421938004032,0.5209677421709878,0.763378357619382,0.443820225522775,0.0001
13,0.6827124810987903,0.5080645164943441,0.7698055653089888,0.4438202255462617,0.0001
14,0.6232374621975807,0.54838709700457,0.6822249166081461,0.5168539335134658,0.0001
15,0.6226617628528226,0.5467741938391277,0.696944674749053,0.5168539346714623,0.0001
