epoch,train_loss,train_acc,train_precision,train_recall,train_specificity,train_f1,val_loss,val_acc,val_precision,val_recall,val_specificity,val_f1
1,0.6332110113674595,0.6693548387096774,0.6732348111658456,0.9855769230769231,0.024509803921568627,0.7999999999999998,0.5979339893949166,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
2,0.6263667749781763,0.6709677419354839,0.6709677419354839,1.0,0.0,0.8030888030888031,0.5928044066335378,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
3,0.6207306883267818,0.6709677419354839,0.6709677419354839,1.0,0.0,0.8030888030888031,0.5837066130859129,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
4,0.618173914330621,0.6741935483870968,0.6731391585760518,1.0,0.00980392156862745,0.804642166344294,0.5809843594606003,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
5,0.6143244235265639,0.6709677419354839,0.6709677419354839,1.0,0.0,0.8030888030888031,0.5894472238220526,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
6,0.614816697759013,0.6693548387096774,0.6704361873990307,0.9975961538461539,0.0,0.8019323671497585,0.5863606863644686,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
7,0.6060657288518644,0.667741935483871,0.6704545454545454,0.9927884615384616,0.004901960784313725,0.8003875968992247,0.595464852335078,0.7078651685393258,0.7245508982035929,0.952755905511811,0.09803921568627451,0.8231292517006804
8,0.6095930853437993,0.6709677419354839,0.677257525083612,0.9735576923076923,0.05392156862745098,0.7988165680473374,0.5710448631912135,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
9,0.6034947487135087,0.6693548387096774,0.6743801652892562,0.9807692307692307,0.03431372549019608,0.7992164544564152,0.5768958649943384,0.7078651685393258,0.711864406779661,0.9921259842519685,0.0,0.8289473684210527
10,0.6033913812570033,0.6774193548387096,0.6794019933554817,0.9831730769230769,0.05392156862745098,0.8035363457760315,0.5702575403317977,0.7134831460674157,0.7134831460674157,1.0,0.0,0.8327868852459017
